Date,Revenue / Sales,Expenses,Profit,Assets,Liabilities,Cash In,Cash Out,Department,Category
2024-01-01,0,280,-280,44480,14970,0,280,Cuisine,Achats fournisseurs
2024-01-01,0,2300,-2300,44480,14970,0,2300,Administration,Loyer
2024-01-01,0,740,-740,44480,14970,0,740,Administration,Electricite / Eau
2024-01-01,0,280,-280,44480,14970,0,280,Cuisine,Gaz
2024-01-01,0,420,-420,44480,14970,0,420,Administration,Assurances
2024-01-01,0,330,-330,44480,14970,0,330,Administration,Taxes / Impots
2024-01-02,680,0,680,47770,14970,680,0,Salle,Ventes repas midi
2024-01-02,240,0,240,47770,14970,240,0,Cuisine,Ventes plats a emporter
2024-01-02,890,0,890,47770,14970,890,0,Salle,Ventes repas soir
2024-01-02,0,530,-530,47770,14970,0,530,Cuisine,Achats fournisseurs
2024-01-03,1000,0,1000,51510,15270,1000,0,Salle,Ventes evenements
2024-01-03,640,0,640,51510,15270,640,0,Salle,Ventes repas soir
2024-01-03,840,0,840,51510,15270,840,0,Salle,Ventes repas midi
2024-01-03,0,240,-240,51510,15270,0,240,Cuisine,Achats fournisseurs
2024-01-04,0,360,-360,53940,15230,0,360,Cuisine,Achats fournisseurs
2024-01-04,370,0,370,53940,15230,370,0,Cuisine,Ventes plats a emporter
2024-01-04,620,0,620,53940,15230,620,0,Salle,Ventes repas soir
2024-01-04,350,0,350,53940,15230,350,0,Salle,Ventes evenements
2024-01-05,690,0,690,53700,15330,690,0,Salle,Ventes repas soir
2024-01-05,330,0,330,53700,15330,330,0,Salle,Ventes evenements
2024-01-05,1090,0,1090,53700,15330,1090,0,Salle,Ventes repas midi
2024-01-05,0,2700,-2700,53700,15330,0,2700,Administration,Salaires
2024-01-05,0,320,-320,53700,15330,0,320,Salle,Maintenance
2024-01-05,0,230,-230,53700,15330,0,230,Administration,Marketing / Pub
2024-01-06,0,140,-140,49940,15270,0,140,Cuisine,Produits menagers
2024-01-06,400,0,400,49940,15270,400,0,Salle,Ventes repas midi
2024-01-06,600,0,600,49940,15270,600,0,Salle,Ventes bar
2024-01-06,770,0,770,49940,15270,770,0,Cuisine,Ventes plats a emporter
2024-01-06,0,360,-360,49940,15270,0,360,Cuisine,Achats fournisseurs
2024-01-08,840,0,840,50550,15610,840,0,Salle,Ventes repas midi
2024-01-08,430,0,430,50550,15610,430,0,Cuisine,Ventes plats a emporter
2024-01-08,480,0,480,50550,15610,480,0,Salle,Ventes repas soir
2024-01-09,440,0,440,52540,15470,440,0,Cuisine,Ventes plats a emporter
2024-01-09,290,0,290,52540,15470,290,0,Salle,Ventes repas midi
2024-01-09,940,0,940,52540,15470,940,0,Salle,Ventes repas soir
2024-01-09,0,370,-370,52540,15470,0,370,Cuisine,Achats fournisseurs
2024-01-10,0,130,-130,53080,15510,0,130,Cuisine,Produits menagers
2024-01-10,720,0,720,53080,15510,720,0,Salle,Ventes repas midi
2024-01-10,0,520,-520,53080,15510,0,520,Cuisine,Achats fournisseurs
2024-01-10,800,0,800,53080,15510,800,0,Salle,Ventes repas soir
2024-01-10,370,0,370,53080,15510,370,0,Cuisine,Ventes plats a emporter
2024-01-11,480,0,480,59070,15320,480,0,Salle,Ventes repas soir
2024-01-11,280,0,280,59070,15320,280,0,Cuisine,Ventes plats a emporter
2024-01-11,440,0,440,59070,15320,440,0,Salle,Ventes evenements
2024-01-11,0,350,-350,59070,15320,0,350,Cuisine,Achats fournisseurs
2024-01-12,0,120,-120,54750,15270,0,120,Cuisine,Produits menagers
2024-01-12,0,1920,-1920,54750,15270,0,1920,Administration,Salaires
2024-01-12,0,390,-390,54750,15270,0,390,Cuisine,Achats fournisseurs
2024-01-12,760,0,760,54750,15270,760,0,Salle,Ventes evenements
2024-01-12,300,0,300,54750,15270,300,0,Salle,Ventes repas soir
2024-01-12,540,0,540,54750,15270,540,0,Salle,Ventes repas midi
2024-01-13,1310,0,1310,52830,15310,1310,0,Cuisine,Ventes plats a emporter
2024-01-13,570,0,570,52830,15310,570,0,Salle,Ventes repas midi
2024-01-13,980,0,980,52830,15310,980,0,Salle,Ventes repas soir
2024-01-14,0,170,-170,52890,15500,0,170,Cuisine,Achats fournisseurs
2024-01-15,0,170,-170,62930,15430,0,170,Cuisine,Produits menagers
2024-01-15,620,0,620,62930,15430,620,0,Salle,Ventes repas midi
2024-01-15,370,0,370,62930,15430,370,0,Cuisine,Ventes plats a emporter
2024-01-15,880,0,880,62930,15430,880,0,Salle,Ventes repas soir
2024-01-15,0,270,-270,62930,15430,0,270,Cuisine,Achats fournisseurs
2024-01-16,590,0,590,62240,15380,590,0,Cuisine,Ventes plats a emporter
2024-01-16,0,570,-570,62240,15380,0,570,Cuisine,Achats fournisseurs
2024-01-16,720,0,720,62240,15380,720,0,Salle,Ventes evenements
2024-01-16,240,0,240,62240,15380,240,0,Salle,Ventes bar
2024-01-17,460,0,460,59700,15470,460,0,Cuisine,Ventes plats a emporter
2024-01-17,540,0,540,59700,15470,540,0,Salle,Ventes repas soir
2024-01-17,750,0,750,59700,15470,750,0,Salle,Ventes repas midi
2024-01-17,0,450,-450,59700,15470,0,450,Cuisine,Achats fournisseurs
2024-01-18,500,0,500,61290,15530,500,0,Salle,Ventes repas midi
2024-01-18,160,0,160,61290,15530,160,0,Cuisine,Ventes plats a emporter
2024-01-18,600,0,600,61290,15530,600,0,Salle,Ventes repas soir
2024-01-18,0,520,-520,61290,15530,0,520,Cuisine,Achats fournisseurs
2024-01-19,0,510,-510,56430,15800,0,510,Cuisine,Achats fournisseurs
2024-01-19,860,0,860,56430,15800,860,0,Salle,Ventes evenements
2024-01-19,0,2930,-2930,56430,15800,0,2930,Administration,Salaires
2024-01-19,660,0,660,56430,15800,660,0,Cuisine,Ventes plats a emporter
2024-01-19,340,0,340,56430,15800,340,0,Salle,Ventes repas soir
2024-01-20,920,0,920,64210,16040,920,0,Salle,Ventes bar
2024-01-20,710,0,710,64210,16040,710,0,Salle,Ventes evenements
2024-01-20,1430,0,1430,64210,16040,1430,0,Salle,Ventes repas midi
2024-01-20,0,470,-470,64210,16040,0,470,Cuisine,Achats fournisseurs
2024-01-20,0,160,-160,64210,16040,0,160,Cuisine,Produits menagers
2024-01-20,0,270,-270,64210,16040,0,270,Administration,Marketing / Pub
2024-01-21,0,150,-150,65880,16340,0,150,Cuisine,Achats fournisseurs
2024-01-22,440,0,440,67640,16220,440,0,Cuisine,Ventes plats a emporter
2024-01-22,600,0,600,67640,16220,600,0,Salle,Ventes repas soir
2024-01-22,640,0,640,67640,16220,640,0,Salle,Ventes evenements
2024-01-23,710,0,710,70140,16030,710,0,Salle,Ventes evenements
2024-01-23,340,0,340,70140,16030,340,0,Salle,Ventes repas soir
2024-01-23,1090,0,1090,70140,16030,1090,0,Cuisine,Ventes plats a emporter
2024-01-23,0,530,-530,70140,16030,0,530,Cuisine,Achats fournisseurs
2024-01-24,520,0,520,62790,16240,520,0,Salle,Ventes bar
2024-01-24,0,520,-520,62790,16240,0,520,Cuisine,Achats fournisseurs
2024-01-24,520,0,520,62790,16240,520,0,Salle,Ventes evenements
2024-01-24,440,0,440,62790,16240,440,0,Cuisine,Ventes plats a emporter
2024-01-25,650,0,650,70050,16330,650,0,Salle,Ventes bar
2024-01-25,400,0,400,70050,16330,400,0,Cuisine,Ventes plats a emporter
2024-01-25,1060,0,1060,70050,16330,1060,0,Salle,Ventes repas soir
2024-01-25,0,490,-490,70050,16330,0,490,Cuisine,Achats fournisseurs
2024-01-25,0,150,-150,70050,16330,0,150,Cuisine,Produits menagers
2024-01-26,0,1830,-1830,63230,16370,0,1830,Administration,Salaires
2024-01-26,0,80,-80,63230,16370,0,80,Cuisine,Produits menagers
2024-01-26,0,140,-140,63230,16370,0,140,Cuisine,Achats fournisseurs
2024-01-26,460,0,460,63230,16370,460,0,Salle,Ventes evenements
2024-01-26,450,0,450,63230,16370,450,0,Salle,Ventes bar
2024-01-26,1070,0,1070,63230,16370,1070,0,Salle,Ventes repas midi
2024-01-27,800,0,800,68160,16630,800,0,Salle,Ventes repas midi
2024-01-27,1020,0,1020,68160,16630,1020,0,Salle,Ventes bar
2024-01-27,490,0,490,68160,16630,490,0,Salle,Ventes repas soir
2024-01-27,0,410,-410,68160,16630,0,410,Cuisine,Achats fournisseurs
2024-01-28,0,540,-540,73650,16920,0,540,Cuisine,Achats fournisseurs
2024-01-29,310,0,310,68900,16910,310,0,Salle,Ventes repas soir
2024-01-29,200,0,200,68900,16910,200,0,Salle,Ventes bar
2024-01-29,480,0,480,68900,16910,480,0,Cuisine,Ventes plats a emporter
2024-01-29,0,510,-510,68900,16910,0,510,Cuisine,Achats fournisseurs
2024-01-29,0,90,-90,68900,16910,0,90,Cuisine,Produits menagers
2024-01-30,780,0,780,71480,16770,780,0,Cuisine,Ventes plats a emporter
2024-01-30,240,0,240,71480,16770,240,0,Salle,Ventes repas midi
2024-01-30,910,0,910,71480,16770,910,0,Salle,Ventes bar
2024-01-31,0,110,-110,69820,16760,0,110,Salle,Maintenance
2024-01-31,0,380,-380,69820,16760,0,380,Cuisine,Achats fournisseurs
