Transaction_ID,Transaction_Date,Year,Month,City,Country,Postal_Code,Neighborhood,Property_Type,Property_Status,Condition,Year_Built,Area_Sqm,Rooms,Bedrooms,Bathrooms,Price_EUR,Monthly_Rent_EUR,Annual_Rental_Yield_Pct,Price_Per_Sqm_EUR,GDP_Growth_Pct,Inflation_Rate_Pct,Interest_Rate_Pct,Unemployment_Rate_Pct,Consumer_Confidence,Construction_Permits,New_Constructions,Demand_Score,Supply_Score,Market_Balance,Is_Hotspot,Internet_Type,Has_Parking,Has_Elevator,Public_Transport,Schools_Nearby,Shops_Nearby
RE000001,2021-04-01,2021,4,Lyon,France,46048,Sud,Studio,A vendre,Ancien,1986,55,1,1,1,124000,0,0.0,2254.55,-1.3,2.2,4.0,8.1,95,9028,3486,58,77,Offre > Demande,Non,ADSL,Oui,Oui,Loin (plus 15 min),Non,Non
RE000002,2023-02-12,2023,2,Lille,France,38221,Ouest,Maison,En construction,Bon etat,1945,127,6,5,1,497000,0,0.0,3913.39,1.2,1.4,5.6,3.7,68,6025,4779,54,28,Demande > Offre,Non,Fibre 1Gbps,Oui,Non,Moyen (5-15 min),Oui,Oui
RE000003,2021-02-17,2021,2,Glasgow,UK,46434,Quartier d'affaires,Penthouse,A vendre,Bon etat,1926,191,5,4,3,1598000,0,0.0,8366.49,3.1,1.7,2.9,11.9,90,9225,1849,71,27,Demande > Offre,Non,Fibre 500Mbps,Oui,Non,Moyen (5-15 min),Non,Oui
RE000004,2022-05-14,2022,5,Sydney,Australia,51245,Sud,Bureau,A louer,Bon etat,1918,455,8,0,1,2447000,11850,5.8,5378.02,-0.2,4.9,5.5,6.6,64,2366,4224,93,31,Demande > Offre,Oui,Fibre 1Gbps,Oui,Non,Proche (moins 5 min),Oui,Non
RE000005,2020-09-17,2020,9,Glasgow,UK,60019,Quartier d'affaires,Local Commercial,A vendre,Neuf,2010,307,9,0,1,1909000,0,0.0,6218.24,-0.1,5.3,1.6,6.9,79,153,2207,94,42,Demande > Offre,Oui,Fibre 1Gbps,Non,Non,Loin (plus 15 min),Oui,Oui
RE000006,2024-03-11,2024,3,New York,USA,80697,Centre,Entrepot,Vendu,Neuf,1902,863,8,0,1,9155000,0,0.0,10608.34,0.2,0.9,5.4,11.5,55,8062,616,46,36,Demande > Offre,Non,Sans fil,Oui,Non,Moyen (5-15 min),Non,Oui
RE000007,2026-01-17,2026,1,Chicago,USA,50857,Quartier residentiel,Penthouse,A vendre,Tres bon etat,1931,262,6,5,1,2859000,0,0.0,10912.21,-0.4,2.2,1.4,8.7,64,1204,307,72,29,Demande > Offre,Non,Fibre 500Mbps,Non,Non,Proche (moins 5 min),Oui,Non
RE000008,2022-09-22,2022,9,Dubai,UAE,63354,Sud,Maison,Loue,A renover,1945,129,8,7,4,603000,3350,6.7,4674.42,2.7,7.9,1.5,6.6,71,1890,2086,54,44,Demande > Offre,Non,Sans fil,Oui,Non,Moyen (5-15 min),Oui,Non
RE000009,2025-03-09,2025,3,Philadelphia,USA,19880,Quartier d'affaires,Local Commercial,A vendre,Ancien,1983,150,1,0,1,689000,0,0.0,4593.33,3.9,1.7,3.4,4.9,75,1060,1398,78,20,Demande > Offre,Oui,Sans fil,Non,Non,Moyen (5-15 min),Non,Non
RE000010,2026-03-26,2026,3,Abu Dhabi,UAE,30289,Sud,Loft,A vendre,Bon etat,1995,645,1,1,1,2977000,0,0.0,4615.5,4.4,4.5,1.3,7.6,61,1222,4924,38,50,Offre > Demande,Non,Sans fil,Oui,Non,Loin (plus 15 min),Oui,Oui
RE000011,2020-12-01,2020,12,Bristol,UK,96163,Ouest,Loft,A louer,A renover,1933,618,6,5,2,2199000,8250,4.5,3558.25,0.2,6.1,1.4,7.1,86,1738,650,57,84,Offre > Demande,Non,ADSL,Oui,Non,Moyen (5-15 min),Oui,Oui
RE000012,2024-02-22,2024,2,Dallas,USA,30676,Quartier d'affaires,Local Commercial,A vendre,Ancien,1978,770,5,0,1,2992000,0,0.0,3885.71,4.5,1.3,5.4,5.4,56,9164,1323,64,56,Demande > Offre,Non,Fibre 500Mbps,Non,Non,Proche (moins 5 min),Non,Non
RE000013,2022-10-25,2022,10,Toulouse,France,22097,Quartier residentiel,Loft,Vendu,Tres bon etat,1998,290,1,1,1,1294000,0,0.0,4462.07,2.9,4.7,1.6,11.5,94,2542,4519,34,67,Offre > Demande,Non,Fibre 500Mbps,Non,Non,Proche (moins 5 min),Oui,Non
RE000014,2024-02-02,2024,2,Marseille,France,56898,Sud,Studio,Loue,Ancien,1999,46,1,1,1,91000,500,6.6,1978.26,4.5,2.3,1.8,10.2,61,6855,253,52,62,Offre > Demande,Non,Sans fil,Oui,Non,Proche (moins 5 min),Oui,Non
RE000015,2020-06-07,2020,6,Dubai,UAE,39154,Sud,Bureau,A louer,Tres bon etat,2005,408,5,0,1,2003000,6600,4.0,4909.31,0.3,7.0,5.8,5.5,91,8446,3324,72,23,Demande > Offre,Non,Fibre 1Gbps,Non,Non,Proche (moins 5 min),Non,Oui
RE000016,2021-03-20,2021,3,Toronto,Canada,66959,Ouest,Penthouse,A louer,Ancien,2015,261,3,2,2,1522000,8300,6.5,5831.42,-2.0,7.4,3.7,9.5,97,3328,3033,85,28,Demande > Offre,Oui,ADSL,Non,Oui,Loin (plus 15 min),Non,Non
RE000017,2024-07-30,2024,7,London,UK,62743,Est,Local Commercial,A louer,A renover,1953,180,4,0,1,1319000,4950,4.5,7327.78,1.8,0.5,2.4,6.9,87,5379,3859,86,76,Demande > Offre,Oui,Fibre 500Mbps,Non,Non,Loin (plus 15 min),Oui,Oui
RE000018,2023-03-08,2023,3,Sharjah,UAE,97012,Ouest,Maison,A louer,Tres bon etat,1939,499,4,3,3,2305000,6200,3.2,4619.24,4.9,5.1,4.8,7.1,90,9531,1642,79,83,Offre > Demande,Oui,Sans fil,Oui,Non,Proche (moins 5 min),Oui,Oui
RE000019,2024-10-07,2024,10,Phoenix,USA,33053,Quartier d'affaires,Appartement,En construction,A renover,1917,83,1,1,1,247000,0,0.0,2975.9,4.7,7.2,4.1,9.5,82,7091,4538,87,40,Demande > Offre,Non,Sans fil,Non,Non,Proche (moins 5 min),Non,Non
RE000020,2022-09-06,2022,9,San Diego,USA,67654,Peripherie,Loft,A vendre,Ancien,1940,680,5,4,3,2432000,0,0.0,3576.47,2.9,5.8,1.3,6.7,84,7733,3456,37,46,Offre > Demande,Non,Sans fil,Non,Non,Loin (plus 15 min),Oui,Non
RE000021,2025-05-07,2025,5,Paris,France,56105,Est,Duplex,En construction,Ancien,1994,294,7,6,5,2103000,0,0.0,7153.06,-0.1,4.1,2.9,9.0,75,2804,3878,46,88,Offre > Demande,Non,Fibre 1Gbps,Non,Non,Loin (plus 15 min),Oui,Oui
RE000022,2024-10-21,2024,10,Bordeaux,France,70515,Nord,Appartement,Vendu,A renover,1927,86,4,3,2,226000,0,0.0,2627.91,-0.1,7.6,3.1,10.5,80,417,4468,36,64,Offre > Demande,Non,Fibre 500Mbps,Oui,Oui,Proche (moins 5 min),Oui,Oui
RE000023,2020-03-24,2020,3,Vancouver,Canada,29973,Sud,Villa,Loue,Tres bon etat,1972,322,8,7,1,3511000,20000,6.8,10903.73,-0.8,5.1,4.7,4.0,60,5196,935,33,59,Offre > Demande,Non,Sans fil,Non,Non,Loin (plus 15 min),Oui,Oui
RE000024,2022-09-21,2022,9,Strasbourg,France,49529,Peripherie,Entrepot,Loue,Ancien,1944,1802,1,0,1,4755000,13250,3.3,2638.73,2.5,0.6,3.1,7.4,77,6034,3816,49,75,Offre > Demande,Non,Fibre 500Mbps,Non,Non,Loin (plus 15 min),Non,Non
RE000025,2024-11-19,2024,11,Melbourne,Australia,45179,Ouest,Studio,A louer,A renover,2012,42,1,1,1,73000,350,5.8,1738.1,2.7,3.0,3.5,5.9,81,3575,2956,63,63,Equilibre,Non,ADSL,Non,Oui,Loin (plus 15 min),Oui,Oui
RE000026,2022-09-15,2022,9,Bristol,UK,74038,Sud,Bureau,A vendre,Neuf,1957,711,8,0,1,3392000,0,0.0,4770.75,-0.3,5.5,2.8,8.0,72,7071,4558,72,65,Demande > Offre,Non,Sans fil,Non,Non,Moyen (5-15 min),Non,Oui
RE000027,2021-05-09,2021,5,Chicago,USA,51359,Peripherie,Local Commercial,Loue,Tres bon etat,1924,756,3,0,1,5981000,29650,5.9,7911.38,3.3,5.0,5.9,10.5,68,3827,3006,52,58,Offre > Demande,Non,Fibre 1Gbps,Oui,Non,Moyen (5-15 min),Oui,Oui
RE000028,2026-03-16,2026,3,Dallas,USA,26551,Quartier d'affaires,Maison,Loue,A renover,1960,86,7,6,3,206000,1350,7.9,2395.35,-0.2,7.0,1.6,3.6,81,1313,4776,36,39,Offre > Demande,Non,Fibre 500Mbps,Non,Non,Proche (moins 5 min),Oui,Oui
RE000029,2026-04-04,2026,4,Bristol,UK,89471,Sud,Local Commercial,Vendu,A renover,2016,439,8,0,1,1394000,0,0.0,3175.4,0.1,5.2,4.0,9.7,98,3504,1778,63,30,Demande > Offre,Non,Fibre 500Mbps,Oui,Non,Proche (moins 5 min),Oui,Oui
RE000030,2020-01-11,2020,1,Bristol,UK,69048,Quartier d'affaires,Loft,Loue,Bon etat,1990,266,4,3,2,903000,3150,4.2,3394.74,-0.1,6.4,3.9,10.2,62,7065,990,58,39,Demande > Offre,Non,ADSL,Oui,Non,Proche (moins 5 min),Oui,Oui
RE000031,2023-06-13,2023,6,Toronto,Canada,84607,Est,Bureau,Loue,Bon etat,1988,177,8,0,1,837000,3850,5.5,4728.81,1.5,1.1,1.2,6.9,70,9991,2101,33,31,Demande > Offre,Non,Fibre 500Mbps,Oui,Non,Loin (plus 15 min),Non,Oui
RE000032,2021-12-18,2021,12,Dubai,UAE,78021,Quartier d'affaires,Loft,A vendre,A renover,1981,571,10,9,5,2562000,0,0.0,4486.87,0.2,1.3,1.8,6.7,81,4822,3330,34,78,Offre > Demande,Non,Fibre 1Gbps,Non,Non,Moyen (5-15 min),Non,Oui
RE000033,2024-07-13,2024,7,Sharjah,UAE,10150,Quartier d'affaires,Duplex,Loue,Ancien,1946,107,4,3,3,476000,2700,6.8,4448.6,-0.6,4.6,5.6,6.9,94,8041,1044,33,50,Offre > Demande,Non,Fibre 500Mbps,Non,Non,Loin (plus 15 min),Oui,Non
